Day,Date,Phase,Platform,Post_Type,Pillar,Caption,Asset_Description,CTA,Hashtags
1,,REBIRTH,IG Feed,AI Portrait,Cinematic Identity,came back different.,"AI hero portrait — face visible, dark red rim light, black layered outfit, silver chain, grainy 35mm",,#papilotus #darkrnb #afterhours
1,,REBIRTH,IG Story,Signal Frame,Cinematic Identity,no caption — visual only,"Lotus symbol on black, faint red glow",,
2,,REBIRTH,TikTok,Hook Loop,Song Loop,"POV: you miss the chaos, not the person.","7-12 sec hook loop over rainy highway AI variation, lyric overlay",save this,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
2,,REBIRTH,IG Story,Poll,Cinematic Identity,night drive or empty club?,"Two AI backgrounds split-frame, poll sticker",,
3,,REBIRTH,IG Reel,Hook Loop (cross-post),Song Loop,"POV: you miss the chaos, not the person.","Cross-post of Day 2 TikTok, same hook, optimized for IG Reels",save this,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
3,,REBIRTH,IG Story,Signal Frame,Cinematic Identity,lotus season.,"Cryptic timestamp frame: 03:17 AM, faint static texture",,
4,,REBIRTH,IG Feed,Lyric Still,Lyric Wound,you only love me when I disappear.,"Black background, small white type, minimal lotus mark bottom-right",,#papilotus #darkrnb #afterhours
4,,REBIRTH,TikTok,Hook Loop,Song Loop,this part still hurts.,"Same hook, motel hallway AI variation, slow camera push",,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
5,,REBIRTH,IG Reel,Fake Paparazzi,False Reality,3:17 AM / unknown location.,"AI flash photo — leaving an underground club, blurred background, chrome highlights",,#papilotus #darkrnb #afterhours
5,,REBIRTH,YT Shorts,Hook Loop,Song Loop,"POV: you miss the chaos, not the person.","Day 2 hook loop, optimized YT Shorts title + description",,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
5,,REBIRTH,IG Story,Signal Frame,False Reality,no caption,Cryptic timestamp screenshot from the paparazzi post,,
6,,REBIRTH,TikTok,AI Visualizer,Cinematic Identity,do not text them tonight.,"Slow red room motion, smoke haze, lyric overlay",,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
6,,REBIRTH,IG Story,Question Box,Cinematic Identity,what should I drop next?,"Dark background, question sticker",,
7,,REBIRTH,IG Reel,AI Visualizer (cross-post),Cinematic Identity,do not text them tonight.,Cross-post of Day 6 TikTok,save this,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
7,,REBIRTH,IG Story,Countdown Tease,Controlled Mystery,no caption — date only,Glitch title card with cryptic date stamp,,
7,,REBIRTH,Website,Hero Loop Live,Cinematic Identity,transmissions from after midnight.,"Fullscreen dark video loop, wordmark, Watch/Listen CTA placeholders",join the afterhours list,
8,,REBIRTH,IG Feed,Carousel,Cinematic Identity,lotus season.,"5 AI stills — motel, car window, penthouse, paparazzi, silhouette",,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
8,,REBIRTH,TikTok,Video Seed,Video Fragments,"same memory, different room.",5-sec close-up from official video + rain neon overlay,,#papilotus #darkrnb #afterhours
9,,REBIRTH,IG Story,Carousel Frame,Cinematic Identity,no caption,Single frame pulled from yesterday's carousel,,
9,,REBIRTH,YT Shorts,Hook Loop,Song Loop,this part still hurts.,"Motel hallway hook variation, YT-optimized",,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
10,,REBIRTH,TikTok,POV Clip,Song Loop,POV: you ruined the only good thing.,Driving/night clip + lyric overlay + hook,save this,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
10,,REBIRTH,IG Story,Story Reminder,Cinematic Identity,no caption,"POV clip frame, swipe-up to TikTok",,
11,,REBIRTH,IG Reel,POV Clip (cross-post),Song Loop,POV: you ruined the only good thing.,Cross-post of Day 10 POV,,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
11,,REBIRTH,IG Story,Link Sticker,Cinematic Identity,pre-save the transmission.,"Cover art motion, link sticker to landing page",tap to pre-save,
12,,REBIRTH,TikTok,Video Seed Variation,Video Fragments,"same memory, different room.",Empty club AI variation of the hook clip,,#papilotus #darkrnb #afterhours
12,,REBIRTH,IG Story,Cryptic Frame,Controlled Mystery,no caption,Lotus mark + static texture,,
13,,REBIRTH,IG Story,Human Proof,Human Proof,this record sat on my drive too long.,"Real phone selfie or studio screen — low-key, authentic",,
13,,REBIRTH,IG Feed,Lyric Clip,Lyric Wound,save this for the night drive.,"Slow red room motion + key lyric overlay, 9:16",,#papilotus #darkrnb #afterhours
14,,REBIRTH,TikTok,Hook Loop,Song Loop,the city knows what happened.,"Paparazzi flash AI variation, lyric overlay",,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
14,,REBIRTH,IG Story,Behind-the-Era Fragment,False Reality,no caption,"AI BTS — empty studio, red LED, mic silhouette",,
14,,REBIRTH,YT Shorts,Video Seed Variation,Video Fragments,"same memory, different room.",Empty club hook variation,,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
15,,WORLDBUILDING,IG Reel,Main Teaser,Video Fragments,MOTEL SAINT. coming soon.,Best 12-sec clip from official video + date card,save the date,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
15,,WORLDBUILDING,IG Story,Date Reveal,Controlled Mystery,MOTEL SAINT.,Animated title card with date,,
15,,WORLDBUILDING,TikTok,Main Teaser (cross-post),Video Fragments,MOTEL SAINT. coming soon.,"Same 12-sec teaser, TikTok-optimized",,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
16,,WORLDBUILDING,TikTok,Lyric Clip,Lyric Wound,the city knows what happened.,Most quotable line + black/red overlay + ambient motion,save this,#papilotus #darkrnb #afterhours
16,,WORLDBUILDING,IG Story,Lyric Reminder,Lyric Wound,no caption,Frame from lyric clip,,
17,,WORLDBUILDING,IG Feed,Fake Magazine Cover,False Reality,Papi Lotus returns from the static.,"AI editorial cover — luxury noir layout, wine red + black palette",,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
17,,WORLDBUILDING,IG Story,Magazine Preview,False Reality,no caption,Spread preview frame from magazine,,
18,,WORLDBUILDING,TikTok,Hook Loop,Song Loop,what does this feel like?,"Surveillance cam AI variation, hook over footage",tell me in comments,#papilotus #darkrnb #afterhours
18,,WORLDBUILDING,YT Shorts,Hook Loop,Song Loop,what does this feel like?,"Same surveillance variation, YT-optimized",,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
18,,WORLDBUILDING,IG Story,Question Box,Cinematic Identity,what should I drop next?,"Dark background, question sticker",,
19,,WORLDBUILDING,IG Reel,BTS Illusion,False Reality,archived footage: lotus sessions 03:17 AM.,"AI backstage/studio — red LED, smoke haze, mic silhouette",,#papilotus #darkrnb #afterhours
19,,WORLDBUILDING,Website,Lyric Page Live,Lyric Wound,no caption,"Minimal lyric page, dark background, small type, SEO-ready",,
19,,WORLDBUILDING,IG Story,Studio Frame,False Reality,no caption,Still from BTS illusion,,
20,,WORLDBUILDING,TikTok,BTS Illusion (cross-post),False Reality,archived footage. 03:17 AM.,Cross-post of Day 19 BTS clip,,#papilotus #darkrnb #afterhours
20,,WORLDBUILDING,IG Story,Countdown 30,Controlled Mystery,30.,Animated countdown card,,
21,,WORLDBUILDING,IG Feed,Archive Carousel,False Reality,found in the static.,4 AI stills with cryptic date stamps — fake archive feel,,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
21,,WORLDBUILDING,IG Story,Archive Frame,False Reality,no caption,Single frame from archive carousel,,
22,,WORLDBUILDING,TikTok,Hook Loop (best),Song Loop,this is the one.,"Strongest AI variation — wine red + chrome, lyric overlay",save this,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
22,,WORLDBUILDING,IG Reel,Hook Loop (cross-post),Song Loop,this is the one.,"Same hook loop, IG-optimized",,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
22,,WORLDBUILDING,IG Story,Save Prompt,Song Loop,save before it disappears.,Frame from hook + save sticker,,
23,,WORLDBUILDING,IG Reel,Official Teaser,Video Fragments,MOTEL SAINT — out 07.XX,"Title + date card cut, designed to be pinned later",save the date,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
23,,WORLDBUILDING,IG Story,Reminders,Cinematic Identity,no caption,"Multi-frame: pre-save sticker, audio sticker, date",,
